ID,Nombre Producto,Descripscion,Categoria,Marca,Talla ,Color,Material,Condicion,Fecha Compra,Fecha Venta,Proveedor ,Precio Compra,Precio Venta,Stock,Notas,ID
1,Sandalias con pedrería Lassod Nuevas a estrenar,"Sandalias con pedrería Lassod Nuevas a estrenar
1)
🎁-5% para seguidores

📏Talla del Articulo : 38

🎨Colorr : Blanco, Marrón

🔎Estado : A+. Nuevas a estrenar, con etiquetas

📐Medidas :

Longitud : 24,6cm
Largura : 8,5cm

(Para más medidas no dudéis en preguntar)

🚚El envió se realiza dentro de las 48h posteriores a la compra:

🤝Gastos de envío ajustados al mínimo

✅Para hacer un lote envíame la solicitud de los productos que deseas
Yo me encargo",1.17.6 Sandalias,Lassod,"38
Longitud del pie = 24,6cm
Ancho Metatarsal = 8,5cm
Ancho Talon = 5,5cm
Altura de dedos = cm
Perimetro metatarsal = 3,5cm
Perimetro Empeine = cm
Entrada Empeine = cm
Perimetro Maleolcs = cm
(Para Bortas) Perimetro Altura Max de Caña = cm
Altura de la caña = 12,5cm","Blanco, Marron",,A+,3/8/22,5/3/24,Familiares,"0,00€","7,50 €",0,"Nuevas a estrenar.
Por Vinted (8,58, 1,08€ de comisión)",1
2,Vestido media manga Dioxide,"Vestido de media manga Dioxide
🎨 Color: Verde
📏 Medidas:
🔹 Ancho: 40 cm
🔹 Largo: 85 cm
✨ Estado: B+. Muy buen estado en general.

🎯 Descuento exclusivo: -5% para seguidores
🚚 Envío rápido: En un máximo de 48h tras la compra
💸 Gastos de envío: Ajustados al mínimo posible

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#VestidoVerde #ModaMujer #DioxideFashion #SegundaMano #VestidoElegante #EstiloFemenino #OfertaModa #VintedFashion #VentaRopa #WallapopStyle #DioxideDress #PrendaExclusiva #LookDelDía #RopaDeMarca #TrendyFashion

Dioxide Half-Sleeve Dress
🎨 Color: Green
📏 Measurements:
🔹 Width: 40 cm
🔹 Length: 85 cm
✨ Condition: B+. Very good overall condition.

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible

✅ Custom bundles: If you want to create a bundle, send me a request with the products you want.

#GreenDress #WomensFashion #DioxideFashion #SecondHand #ElegantDress #FeminineStyle #FashionOffer #VintedFashion #ClothingSale #WallapopStyle #DioxideDress #ExclusiveItem #OutfitOfTheDay #BrandedClothing #TrendyFashion",1.6.1 Vestidos manga larga ,Dioxide,"Unica
Largo = 85cm
Largo manga = 36,5cm
Busto = 40cm
Cintura = 41cm
Ruedo = 83cm",Verde,,B,3/8/22,,Familiares,"0,00€",,1,"Semi Nuevo, Perfecto estado, peso: 0,754",2
3,Pantalón con bolsillos deportivo Inside,"Pantalón con bolsillos deportivo Inside
3)
🎁-5% para seguidores

📏Talla del Articulo : M

🎨Colorr : Gris, Negro

🔎Estado : B+. Muy buen estado en general 

📐Medidas :

Ancho : 41cm
Largo : 45cm

(Para más medidas no dudéis en preguntar)

🚚El envió se realiza dentro de las 48h posteriores a la compra:

🤝Gastos de envío ajustados al mínimo

✅Para hacer un lote envíame la solicitud de los productos que deseas
Yo me encargo
#ShortDeportivo
#InsideSport
#ModaDeportiva
#PantalónCortoMujer
#RopaFitness
#InsideFashion
#ActiveWear
#VintedSport
#WallapopAthleisure
#OfertaDeporte
#ShortsInside
#EstiloActivo
#SegundaManoDeporte
#InsideActive
#GimnasioFashion",1.1.6 Pantalones cortos ,Inside,"M
Cintura = 41cm 
Tiro = 33cm
Muslo = 32cm
Rodilla = 26,5cm
Tobillo = cm
Largo de pierna = 45cm","Gris, Negro",,B,3/8/22,24/4/24,Familiares,"0,00€","4,00 €",0,"SemiNuevo Perfecto estado, peso: 0,688.
Por Vinted (4,90, 0,90€ de comisión) ",3
4,Jersey cuello pico Hombre Genfins Rojo,"Jersey cuello pico Hombre Genfins Rojo
4)
🎁-5% para seguidores

📏Talla del Articulo : M

🎨Colorr : Rojo

🔎Estado : A+. Nuevo a estrenar

📐Medidas :

Ancho : cm
Largo : cm

(Para más medidas no dudéis en preguntar)

🚚El envió se realiza dentro de las 48h posteriores a la compra:

🤝Gastos de envío ajustados al mínimo

✅Para hacer un lote envíame la solicitud de los productos que deseas
Yo me encargo
#ShortDeportivo
#InsideSport
#ModaDeportiva
#PantalónCortoMujer
#RopaFitness
#InsideFashion
#ActiveWear
#VintedSport
#WallapopAthleisure
#OfertaDeporte
#ShortsInside
#EstiloActivo
#SegundaManoDeporte
#InsideActive
#GimnasioFashion",1.9.2 manga larga,Genfins,M,Rojo,,A,3/8/22,13/9/22,Familiares,"0,00€","10,00 €",0,"Nuevo.
Por Wallapop",4
5,Jersey Oversize media cremallera Springfield Vintage,"Jersey Oversize de media cremallera Springfield Vintage
5)
🎨 Color: Marrón, Blanco, Verde
📏 Talla del artículo: M
📐 Medidas:
🔹 Ancho: 63 cm
🔹 Largo: 82 cm
✨ Estado: C. Presenta algunos agujeros, pero en general se encuentra en buen estado.

🎯 Descuento exclusivo: -5% para seguidores
🚚 Envío rápido: En un máximo de 48h tras la compra
💸 Gastos de envío: Ajustados al mínimo posible

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#JerseyOversize #VintageFashion #SpringfieldVintage #ModaRetro #EstiloVintage #JerseyConCremallera #ModaDeInvierno #EstiloRetro #FashionThrowback #JerseyDePunto #RopaDeInvierno #EstiloOversize #TendenciasVintage #VintageStyle #ModaRetro

Springfield Vintage Half-Zip Oversize Sweater
5)
🎨 Color: Brown, White, Green
📏 Item Size: M
📐 Measurements:
🔹 Width: 63 cm
🔹 Length: 82 cm
✨ Condition: C. Shows some holes but is generally in good condition.

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible

✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#OversizeSweater #VintageFashion #SpringfieldVintage #RetroStyle #VintageLook #SweaterWithZipper #WinterFashion #RetroVibes #FashionThrowback #KnitSweater #WinterWear #OversizeFit #VintageTrends #VintageStyle #RetroFashion",1.9.2 manga larga,Springfield,"M
Axila a Parte baja = 48cm
Cuello a Parte baja = 70cm
Espalda a Parte baja = 82cm
Hombro a Hombro = 49cm
Cintura = 63cm
Manga largo = 60,5cm
Manga ancho = 11cm","Marrón, Blanco, Verde",,C+,3/8/22,,Familiares,"0,00€",,1,"SemiNuevo, con algun agujero, peso: 0,849",5
6,Gorra estampada Jornada Comic Vintage,"Gorra estampada Jornada Comic Vintage
6)
🎨 Color: Negro
📏 Talla del artículo: Única
📐 Medidas:
🔹 Ancho: cm
🔹 Largo: cm
✨ Estado: B+. Muy buen estado en general.

🎯 Descuento exclusivo: -5% para seguidores
🚚 Envío rápido: En un máximo de 48h tras la compra
💸 Gastos de envío: Ajustados al mínimo posible

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#GorraEstampada #JornadaComic #VintageFashion #CómicVintage #GorraRetro #EstiloVintage #ModaRetro #AccesoriosVintage #FashionThrowback #EstiloCómic #GorraDeColección #TendenciasVintage #VintageStyle #EstiloCómico #ModaCómic

Vintage Comic Event Printed Cap
6)
🎨 Color: Black
📏 Item Size: One Size
📐 Measurements:
🔹 Width: cm
🔹 Length: cm
✨ Condition: B+. Very good overall condition.

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible

✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#PrintedCap #ComicEvent #VintageFashion #ComicVintage #RetroCap #VintageStyle #RetroFashion #VintageAccessories #FashionThrowback #ComicStyle #CollectibleCap #VintageTrends #VintageStyle #ComicStyle #ComicFashion",1.19.3 Gorras ,Setas,Unica,Negro,,B,3/8/22,,Familiares,"0,00€",,1,"SemiNueva, Sin desperfectos, peso: 0,128",6
7,Gorra Bolera Vintage Azul Marino,"Gorra Bolera Vintage Azul Marino
7)
🎨 Color: Azul Marino
📏 Talla del artículo: Única
📐 Medidas:
🔹 Ancho: cm
🔹 Largo: cm
✨ Estado: B+. Muy buen estado en general.

🎯 Descuento exclusivo: -5% para seguidores
🚚 Envío rápido: En un máximo de 48h tras la compra
💸 Gastos de envío: Ajustados al mínimo posible

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#GorraAzulMarino #AccesoriosDeModa #EstiloUrbano #VintageFashion #GorraUnisex #ModaSegundaMano #Streetwear #CompraVenta #LookCasual #OfertaModa #VintedFinds #GorraOriginal #WallapopVentas #ModaRebajas #AccesoriosTop #FashionSale #EstiloÚnico #SegundaMano #GorraElegante #BlueCap

Vintage Navy Blue Bowler Cap
7)
🎨 Color: Navy Blue
📏 Item Size: One Size
📐 Measurements:
🔹 Width: cm
🔹 Length: cm
✨ Condition: B+. Very good overall condition.

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible

✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#NavyBlueCap #FashionAccessories #UrbanStyle #VintageFashion #UnisexCap #SecondHandFashion #Streetwear #BuySell #CasualLook #FashionOffer #VintedFinds #OriginalCap #WallapopSales #FashionDiscounts #TopAccessories #FashionSale #UniqueStyle #SecondHand #ElegantCap #BlueCap
",1.19.3 Gorras ,Clique,Unica,Azul Marino,,B,3/8/22,,Familiares,"0,00€",,1,"SemiNueva, Sin desperfectos, peso: 0,168",7
8,Gorra de Coca-Cola Hombre/Infantil Coca-Cola Negro,"Gorra de Coca-Cola Hombre/Infantil Coca-Cola Negro
8)
🎁-5% para seguidores

📏Talla del Articulo : Unica

🎨Colorr : Negro

🔎Estado : B+. Muy buen estado en general 

📐Medidas :

Ancho : cm
Largo : cm

(Para más medidas no dudéis en preguntar)

🚚El envió se realiza dentro de las 48h posteriores a la compra:

🤝Gastos de envío ajustados al mínimo

✅Para hacer un lote envíame la solicitud de los productos que deseas
Yo me encargo
#GorraAzulMarino
#AccesoriosDeModa
#EstiloUrbano
#VintageFashion
#GorraUnisex
#ModaSegundaMano
#Streetwear
#CompraVenta
#LookCasual
#OfertaModa
#VintedFinds
#GorraOriginal
#WallapopVentas
#ModaRebajas
#AccesoriosTop
#FashionSale
#EstiloÚnico
#SegundaMano
#GorraElegante
#BlueCap",1.19.3 Gorras ,,Unica,Negro,,B,3/8/22,27/2/23,Familiares,"0,00€","5,00 €",0,"SemiNueva, Sin desperfectos, peso: 0,159.
Por Wallapop",8
9,Gorra Rip Curl Vintage,"Gorra Rip Curl Vintage
9)
🎨 Color: Azul, Negro, Blanco
📏 Talla del artículo: Única
📐 Medidas:
🔹 Ancho: cm
🔹 Largo: cm
✨ Estado: B+. Muy buen estado en general.

🎯 Descuento exclusivo: -5% para seguidores
🚚 Envío rápido: En un máximo de 48h tras la compra
💸 Gastos de envío: Ajustados al mínimo posible

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#GorraVintage #RipCurl #ModaRetro #AccesoriosSurf #EstiloVintage #GorraVerde #RipCurlVintage #LookRetro #ModaDeportiva #VintageFashion #SurfStyle #AccesoriosExclusivos #Coleccionables #RetroFashion #GorraClásica #VentadeModa #WallapopVintage #GorraCollector #ModaSurfera #GreenCap

Rip Curl Vintage Cap
9)
🎨 Color: Blue, Black, White
📏 Item Size: One Size
📐 Measurements:
🔹 Width: cm
🔹 Length: cm
✨ Condition: B+. Very good overall condition.

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible

✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#VintageCap #RipCurl #RetroFashion #SurfAccessories #VintageStyle #GreenCap #RipCurlVintage #RetroLook #Sportswear #VintageFashion #SurfStyle #ExclusiveAccessories #Collectibles #RetroFashion #ClassicCap #FashionSale #WallapopVintage #CapCollector #SurfFashion #GreenCap",1.19.3 Gorras ,Rip Curl,Unica,"Azul, Negro, Blanco",,B,3/8/22,,Familiares,"0,00€",,1,"Semi Nueva, Sin desperfectos, peso: 0,176",9
10,Gorro lana Tommy Hilfiger Vintage,"Gorro lana Tommy Hilfiger Vintage
10)
🎁-5% para seguidores

📏Talla del Articulo : Unica

🎨Colorr : Rojo

🔎Estado : B+. Muy buen estado en general 

📐Medidas :

Ancho : cm
Largo : cm

(Para más medidas no dudéis en preguntar)

🚚El envió se realiza dentro de las 48h posteriores a la compra:

🤝Gastos de envío ajustados al mínimo

✅Para hacer un lote envíame la solicitud de los productos que deseas
Yo me encargo
#GorraVintage
#RipCurl
#ModaRetro
#AccesoriosSurf
#EstiloVintage
#GorraVerde
#RipCurlVintage
#LookRetro
#ModaDeportiva
#VintageFashion
#SurfStyle
#AccesoriosExclusivos
#Coleccionables
#RetroFashion
#GorraClásica
#VentadeModa
#WallapopVintage
#GorraCollector
#ModaSurfera
#GreenCap",1.19.4 Gorros ,Tommy Hilfiger,Unica,Rojo,,B,3/8/22,30/01/23,Familiares,"0,00€","7,50 €",0,"SemiNuevo, Sin desperfectos.
Por Wallapop",10
11,Gorro Lana hecho a mano Blanco,"Gorro de Lana hecho a mano Blanco
11)
🎨 Color: Blanco
📏 Talla del artículo: Única
📐 Medidas:
🔹 Ancho: cm
🔹 Largo: cm
✨ Estado: B+. Muy buen estado en general.

🎁 Descuento exclusivo: -5% para seguidores
🚚 Envío rápido: En un máximo de 48h tras la compra
💸 Gastos de envío: Ajustados al mínimo posible

✅ Lotes personalizados: Si deseas adquirir múltiples productos, envíame una solicitud con los artículos que desees.

#GorroDeLana #TejidoAMano #ArtesaníaTextil #AccesoriosInvernales #GorroBlanco #HechoAMano #ModaTejida #InviernoEstilo #GorroDePunto #TejidoArtesanal #ModaInvernal #GorroCaliente #LanaBlanca #FashionHandmade #GorroCómodo #TejidoCreativo #VintedHandmade #GorroÚnico #WinterKnit #VentaArtesanal

Handmade White Wool Hat
11)
🎨 Color: White
📏 Item Size: One Size
📐 Measurements:
🔹 Width: cm
🔹 Length: cm
✨ Condition: B+. Very good overall condition.

🎁 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible

✅ Custom Bundles: If you wish to purchase multiple products, send me a request with the items you desire.

#WoolHat #HandKnitted #TextileCraftsmanship #WinterAccessories #WhiteHat #Handmade #KnittedFashion #WinterStyle #KnittedHat #ArtisanalKnitting #WinterFashion #WarmHat #WhiteWool #HandmadeFashion #ComfortableHat #CreativeKnitting #VintedHandmade #UniqueHat #WinterKnit #ArtisanalSale",1.19.4 Gorros ,Hecho a Mano,Unica,Blanco,,A,3/8/22,,Familiares,"0,00€",€,1,"Como Nuevo, Sin Desperfectos, peso: 0,119",11
